symbol,base,coin_daily_volatility,coin_abs_mean_return,correlation,beta,r_squared,volatility_multiplier,data_points
CTSI/USDT:USDT,CTSI,0.055709,0.037282,0.586680,0.986601,0.344193,1.680133,1095
NKN/USDT:USDT,NKN,0.057677,0.037570,0.553257,0.963268,0.306094,1.739494,1095
IOTX/USDT:USDT,IOTX,0.053374,0.036706,0.573729,0.924375,0.329165,1.609700,1095
MTL/USDT:USDT,MTL,0.045134,0.032282,0.576916,0.786024,0.332832,1.361215,1095
PUMPBTC/USDT:USDT,PUMPBTC,0.136291,0.063601,0.098356,0.555417,0.009674,4.110414,225
1000000BOB/USDT:USDT,1000000BOB,0.081893,0.057526,0.062759,0.214390,0.003939,2.469812,233
VELVET/USDT:USDT,VELVET,0.097712,0.055695,0.043183,0.169151,0.001865,2.946924,193
TAG/USDT:USDT,TAG,0.099652,0.063950,0.041943,0.163636,0.001759,3.005420,183
CUDIS/USDT:USDT,CUDIS,0.105561,0.062338,0.030680,0.122303,0.000941,3.183617,157
FIO/USDT:USDT,FIO,0.054782,0.036972,0.060050,0.117002,0.003606,1.652190,491
MBOX/USDT:USDT,MBOX,0.056880,0.041744,0.054151,0.110888,0.002932,1.715447,514
DEXE/USDT:USDT,DEXE,0.061826,0.036534,0.026200,0.065172,0.000686,1.864611,396
KOMA/USDT:USDT,KOMA,0.079141,0.053541,0.017358,0.055011,0.000301,2.386815,410
VTHO/USDT:USDT,VTHO,0.049240,0.033235,0.021680,0.042660,0.000470,1.485024,367
B3/USDT:USDT,B3,0.065796,0.046912,0.012516,0.033728,0.000157,1.984366,345
CHESS/USDT:USDT,CHESS,0.060211,0.043482,0.014891,0.032250,0.000222,1.815905,513
ONG/USDT:USDT,ONG,0.047666,0.032915,0.018206,0.027908,0.000331,1.437560,789
VFY/USDT:USDT,VFY,0.082057,0.059554,-0.002033,-0.006090,0.000004,2.474777,116
OXT/USDT:USDT,OXT,0.046483,0.033418,-0.004366,-0.006193,0.000019,1.401876,897
TAIKO/USDT:USDT,TAIKO,0.041440,0.032143,-0.008159,-0.014069,0.000067,1.249807,227
BNT/USDT:USDT,BNT,0.046514,0.030431,-0.010784,-0.015315,0.000116,1.402826,898
CVC/USDT:USDT,CVC,0.040309,0.028955,-0.012698,-0.021770,0.000161,1.215677,253
PUNDIX/USDT:USDT,PUNDIX,0.047637,0.030790,-0.010952,-0.022566,0.000120,1.436682,269
MLN/USDT:USDT,MLN,0.077569,0.036878,-0.007920,-0.025606,0.000063,2.339419,299
COS/USDT:USDT,COS,0.049559,0.034715,-0.014723,-0.025788,0.000217,1.494652,481
ARK/USDT:USDT,ARK,0.061523,0.040559,-0.019873,-0.037416,0.000395,1.855476,858
DEGEN/USDT:USDT,DEGEN,0.088972,0.055798,-0.012922,-0.043493,0.000167,2.683329,435
DODOX/USDT:USDT,DODOX,0.054634,0.039242,-0.030748,-0.051346,0.000945,1.647727,900
ETHW/USDT:USDT,ETHW,0.059070,0.040578,-0.027293,-0.051859,0.000745,1.781502,788
BROCCOLIF3B/USDT:USDT,BROCCOLIF3B,0.112817,0.065900,-0.013226,-0.061934,0.000175,3.402456,309
STEEM/USDT:USDT,STEEM,0.046211,0.031157,-0.061322,-0.088890,0.003760,1.393693,808
ALPINE/USDT:USDT,ALPINE,0.114559,0.048609,-0.018927,-0.093372,0.000358,3.455005,263
MOVR/USDT:USDT,MOVR,0.056693,0.039599,-0.050314,-0.095432,0.002532,1.709819,760
JOE/USDT:USDT,JOE,0.054907,0.040203,-0.059040,-0.097084,0.003486,1.655954,1032
DEGO/USDT:USDT,DEGO,0.066988,0.039399,-0.042770,-0.114335,0.001829,2.020293,407
ON/USDT:USDT,ON,0.071891,0.043233,-0.047167,-0.117227,0.002225,2.168169,92
ZETA/USDT:USDT,ZETA,0.064979,0.043954,-0.056853,-0.123808,0.003232,1.959699,722
ALL/USDT:USDT,ALL,0.040629,0.028899,-0.088167,-0.136214,0.007773,1.225336,171
DF/USDT:USDT,DF,0.058352,0.037440,-0.078116,-0.183170,0.006102,1.759833,390
VIC/USDT:USDT,VIC,0.069806,0.038184,-0.074733,-0.215848,0.005585,2.105301,318
DIA/USDT:USDT,DIA,0.068722,0.044109,-0.085125,-0.217016,0.007246,2.072609,479
AKE/USDT:USDT,AKE,0.091803,0.067754,-0.101422,-0.342992,0.010286,2.768707,120
AIN/USDT:USDT,AIN,0.067789,0.047481,-0.128196,-0.352522,0.016434,2.044453,198
BR/USDT:USDT,BR,0.097534,0.049542,-0.138997,-0.562706,0.019320,2.941544,309
